PSLCODE 225	9 1	1 5	Source Access Key	Target Access Key
0006426A/1/0	&Help	&مساعدة	H	?
0006426A/2/0	Snagit &Help\tF1	&مساعدة Snagit\tF1	H	?
0006426A/4/0	&Support	&الدعم	S	?
0006426A/5/0	&Check For Updates	التحقق من وجود تحديثات	C	
0006426A/7/0	&About Snagit	&حول Snagit	A	?
0006426A/8/0	&System Tray Menu	&قائمة شريط المهام	S	?
0006426A/10/0	Open Snagit E&ditor	&فتح محرر Snagit	D	?
0006426A/11/0	Open Capture &Window	&قائمة شريط المهام	W	?
0006426A/12/0	Snagit &Capture Widget	&أداة التقاط Snagit	C	?
0006426A/13/0	P&references...	&تفضيلات...	R	?
0006426A/14/0	E&xit Snagit Capture	&إنهاء التقاط Snagit	X	?
0006426A/15/0	Explorer DragDrop Menu	قائمة السحب والإفلات في المستكشف		
0006426A/16/0	&Copy here	&نسخ إلى هنا	C	?
0006426A/17/0	&Move here	&نقل إلى هنا	M	?
0006426A/18/0	Create &Shortcuts Here	إنشاء اخت&صارات هنا	S	?
0006426A/20/0	Cancel	إلغاء الأمر		
0006426A/21/0	_POPUP_	_POPUP_		
0006426A/22/0	&Reset to Default	إ&عادة التعيين	R	?
0006426A/23/0	&Copy Button Image	&نسخ صورة الزر	C	?
0006426A/24/0	&Delete	&حذف	D	?
